"mirname" "p.value"
"hsa-miR-1299" "0,221151747"
"hsa-miR-1269" "0,221479258"
"hsa-miR-432" "0,223389738"
"hsa-miR-299-3p" "0,223444323"
"hsa-miR-1283" "0,223717249"
"hsa-miR-194*" "0,223771834"
"solexa-9029-92" "0,225245633"
"solexa-9124-90" "0,225573144"
"HS_254" "0,226173581"
"hsa-miR-375" "0,226391921"
"hsa-miR-155" "0,226664847"
"hsa-miR-33a" "0,227210699"
"hsa-miR-487b" "0,228247817"
"hsa-miR-1265" "0,231031659"
"hsa-miR-423-5p" "0,231632096"
"HS_150" "0,231850437"
"hsa-miR-147" "0,232123362"
"hsa-miR-452" "0,232832969"
"hsa-miR-150*" "0,241184498"
"hsa-miR-662" "0,241293668"
"hsa-miR-608" "0,242221616"
"hsa-miR-1207-5p" "0,242439956"
"hsa-miR-488*" "0,242876638"
"HS_65" "0,244077511"
"hsa-miR-373*" "0,244787118"
"HS_304_a" "0,245605895"
"hsa-miR-526b:9.1" "0,245824236"
"hsa-miR-196a*" "0,246315502"
"hsa-miR-1281" "0,246479258"
"hsa-miR-148a*" "0,246861354"
"hsa-miR-708*" "0,247734716"
"hsa-miR-1179" "0,247789301"
"hsa-miR-377*" "0,248116812"
"hsa-miR-33b" "0,249863537"
"hsa-miR-520a-5p" "0,250245633"
"hsa-miR-767-3p" "0,250573144"
"HS_201" "0,251828603"
"hsa-miR-181c*" "0,251883188"
"HS_11.1" "0,253356987"
"hsa-let-7b" "0,253957424"
"hsa-miR-571" "0,254667031"
"hsa-miR-599" "0,255376638"
"solexa-8926-93" "0,258870087"
"hsa-miR-483-3p" "0,260998908"
"hsa-miR-361-3p" "0,266457424"
"hsa-miR-124" "0,266621179"
"hsa-miR-129-3p" "0,267603712"
"hsa-miR-513b" "0,269241266"
"hsa-miR-516a-5p" "0,269514192"
"hsa-miR-638" "0,270223799"
"hsa-miR-499-5p" "0,272025109"
"HS_273" "0,273280568"
"HS_261.1" "0,274863537"
"hsa-miR-607" "0,276664847"
"HS_128" "0,277319869"
"solexa-3695-237" "0,280158297"
"HS_231" "0,281468341"
"hsa-miR-1202" "0,282341703"
"hsa-miR-148a" "0,285944323"
"HS_193" "0,285998908"
"HS_177" "0,286599345"
"hsa-miR-1231" "0,287527293"
"hsa-miR-222" "0,287636463"
"hsa-miR-422a" "0,2882369"
"hsa-miR-637" "0,28856441"
"HS_252.1" "0,289710699"
"hsa-miR-10a*" "0,293094978"
"hsa-miR-148b" "0,293367904"
"hsa-miR-1255b" "0,294186681"
"HS_123" "0,295824236"
"hsa-miR-520h,hsa-miR-520g" "0,296151747"
"hsa-miR-623" "0,296533843"
"HS_37" "0,297298035"
"hsa-miR-1295" "0,29893559"
"hsa-miR-664" "0,29915393"
"hsa-miR-1234" "0,301828603"
"hsa-miR-29a*" "0,30253821"
"hsa-miR-1253" "0,304121179"
"hsa-miR-371-5p" "0,305922489"
"hsa-miR-520d-3p" "0,306686681"
"hsa-miR-518f*,hsa-miR-518d-5p,hsa-miR-520c-5p,hsa-miR-526a" "0,307177948"
"HS_38.1" "0,308487991"
"hsa-miR-520f" "0,310835153"
"HS_264.1" "0,31143559"
"hsa-miR-129*" "0,312418122"
"hsa-miR-645" "0,312554585"
"hsa-miR-875-5p" "0,312963974"
"hsa-miR-1184" "0,313782751"
"hsa-miR-204" "0,313891921"
"hsa-miR-146a*" "0,314110262"
"hsa-miR-944" "0,314219432"
"hsa-miR-19a" "0,317167031"
"hsa-miR-503" "0,319514192"
"hsa-miR-30d" "0,322898472"
"hsa-miR-193b" "0,323990175"
"hsa-miR-27a" "0,325627729"
"HS_55" "0,32606441"
"hsa-miR-616" "0,326828603"
"hsa-miR-217" "0,327974891"
"HS_258" "0,328247817"
"hsa-miR-518e*,hsa-miR-519a*,hsa-miR-519b-5p,hsa-miR-519c-5p,hsa-miR-522*,hsa-miR-523*" "0,328575328"
"hsa-miR-1225-3p" "0,328629913"
"HS_156" "0,32933952"
"hsa-miR-211" "0,329394105"
"hsa-miR-590-5p" "0,33135917"
"hsa-miR-606" "0,331468341"
"hsa-miR-1203" "0,332614629"
"hsa-miR-875-3p" "0,333269651"
"hsa-let-7g" "0,333597162"
"hsa-miR-24-1*" "0,334252183"
"hsa-miR-1252" "0,33474345"
"hsa-miR-19b" "0,336408297"
"HS_147" "0,339164847"
"hsa-miR-376b" "0,343094978"
"hsa-miR-1286" "0,343422489"
